Artist,Album,Track Name,Track ID,Energy,Key,Loudness,Instrumentalness,Valence,Tempo,Mood
Morgan Wallen,If I Know Me,Chasin' You,5MwynWK9s4hlyKHqhkNn4A,0.591,7,-5.785,0.0,0.489,97.074,Sad
Metro Boomin,HEROES & VILLAINS,Superhero (Heroes & Villains) [with Future & Chris Brown],0vjeOZ3Ft5jvAi9SBFJm1j,0.606,5,-5.3,2.36e-06,0.492,116.622,Sad
Taylor Swift,Speak Now (Taylor's Version),Enchanted (Taylor's Version),3sW3oSbzsfecv9XoUdGs7h,0.532,8,-3.526,0.0,0.216,81.907,Sad
Travis Scott,UTOPIA,SIRENS,7LSpFCvRZZot2AlmkUzy9k,0.88,9,-6.117,0.000167,0.242,96.003,Sad
Jimin,Like Crazy (Remixes),Like Crazy,58BWnoFDNaeM0vwA0K3fqb,0.733,7,-5.445,0.0,0.362,120.001,Sad
Peso Pluma,Por las Noches,Por las Noches,2VzCjpKvPB1l1tqLndtAQa,0.595,0,-7.19,2.44e-05,0.392,92.491,Sad
Taylor Swift,folklore,august,3hUxzQpSfdDqwM3ZTFQY0K,0.623,5,-9.208,7.28e-05,0.403,89.937,Sad
Metro Boomin,HEROES & VILLAINS,Trance (with Travis Scott & Young Thug),5wG3HvLhF6Y5KTGlK0IW3J,0.549,1,-7.38,0.0,0.447,119.497,Sad
Taylor Swift,1989,Style,4lIxdJw6W3Fg4vUIYCB0S5,0.786,2,-5.572,0.0016,0.456,95.019,Sad
Taylor Swift,Lover,Lover,1dGr1c8CrMLDpV6mPbImSI,0.543,7,-7.582,1.58e-05,0.453,68.534,Sad
Quevedo,Columbia,Columbia,6XbtvPmIpyCbjuT0e8cQtp,0.712,5,-5.927,2.13e-05,0.264,100.02,Sad
Travis Scott,UTOPIA,GOD'S COUNTRY,04WxWo7XeVyx22xEsrWRUb,0.65,2,-5.819,1.21e-05,0.138,150.048,Sad
Tory Lanez,Alone At Prom,The Color Violet,3azJifCSqg9fRij2yKIbWz,0.534,6,-10.8,0.0,0.463,105.02,Sad
Metro Boomin,METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)",5rurggqwwudn9clMdcchxT,0.535,0,-7.836,0.0,0.22,140.127,Sad
Future,I NEVER LIKED YOU,WAIT FOR U (feat. Drake & Tems),59nOXPmaKlBfGMDeOVGrIK,0.642,1,-4.474,0.0,0.339,83.389,Sad
Travis Scott,UTOPIA,SKITZO (feat. Young Thug),0bkV1iQHSxBaksUqgEkcbc,0.551,5,-7.219,0.0,0.347,83.25,Sad
Anuel AA,Baby,Baby,5iDNf2uMgRzmQpcmGAzOUk,0.766,4,-7.67,7.99e-06,0.35,141.986,Sad
Taylor Swift,Speak Now (Taylor's Version),Back To December (Taylor's Version),79uDOz0zuuWS7HWxzMmTa2,0.635,2,-3.927,0.0,0.203,142.063,Sad
Travis Scott,UTOPIA,TIL FURTHER NOTICE (feat. James Blake & 21 Savage),76gcXhY3Zv6wW0BTe9nHJo,0.659,3,-6.522,0.00772,0.154,76.985,Sad
Post Malone,Chemical,Chemical,5w40ZYhbBMAlHYNDaVJIUu,0.897,2,-4.907,0.0,0.373,169.902,Sad
Taylor Swift,Speak Now (Taylor's Version),Mine (Taylor's Version),7G0gBu6nLdhFDPRLc0HdDG,0.783,7,-2.846,1.38e-06,0.49,121.08,Sad
Troye Sivan,Rush,Rush,3xIMkM5LgbVDkpO74O3Np3,0.839,5,-7.614,4.2e-05,0.346,126.03,Sad
Yahritza Y Su Esencia,Frágil,Frágil,4JdSXF2p71cr8uCY3UiJM0,0.726,6,-4.515,0.0,0.393,149.918,Sad
Bailey Zimmerman,Religiously. The Album.,Rock and A Hard Place,1TE8AAk9koG0UJco6ZAUfx,0.568,1,-7.3,0.0,0.394,121.991,Sad
21 Savage,SAVAGE MODE II,Glock In My Lap,6pcywuOeGGWeOQzdUyti6k,0.733,10,-6.439,1.04e-05,0.202,130.029,Sad
Jordan Davis,Buy Dirt,Buy Dirt,69AIpwGNLxr4qS1X5ynx60,0.559,4,-6.725,0.0,0.437,177.945,Sad
Metro Boomin,HEROES & VILLAINS,Too Many Nights (feat. Don Toliver & with Future),2Hh3ETdQKrmSI3QS0hme7g,0.671,7,-4.392,2.37e-05,0.156,88.048,Sad
Travis Scott,UTOPIA,CIRCUS MAXIMUS (feat. The Weeknd & Swae Lee),4GL9GMX9t7Qkprvf1YighZ,0.764,1,-6.314,0.0089,0.248,125.018,Sad
Bad Bunny,Un Verano Sin Ti,Me Porto Bonito,6Sq7ltF9Qa7SNFBsV5Cogx,0.712,1,-5.105,2.68e-05,0.425,92.005,Sad
Morgan Wallen,One Thing At A Time,Cowgirls (feat. ERNEST),7fveJ3pk1eSfxBdVkzdXZ0,0.766,8,-3.805,8.62e-06,0.37,172.08,Sad
Ice Spice,Like..? (Deluxe),Deli,5JYPXqMwYc0zTODQdjMEZN,0.763,1,-6.169,2.22e-05,0.272,140.107,Sad
Young Thug,BUSINESS IS BUSINESS,Oh U Went (feat. Drake),7qLr3HMApUbyDkUvgIvHnB,0.789,7,-5.88,0.0,0.465,136.01,Sad
Drake,Her Loss,Spin Bout U,2ZL7WZcjuYKi1KUDtp4kCC,0.701,7,-6.386,0.0,0.203,129.963,Sad
Taylor Swift,reputation,Getaway Car,0VE4kBnHJUgtMf0dy6DRmW,0.689,2,-6.745,2.23e-06,0.351,172.054,Sad
Lil Baby,Too Hard,Freestyle,5BbdKBZO0TH0GhfxUfyhL9,0.517,2,-5.426,0.0,0.255,119.996,Sad
Zach Bryan,Summertime Blues,Oklahoma Smokeshow,0OWhKvvsHptt6vnnNUSM9a,0.573,8,-5.694,0.0,0.233,122.977,Sad
Jason Aldean,Try That In A Small Town,Try That In A Small Town,4ROknQyR1wOGPfmpTtB3z4,0.861,0,-3.762,5.38e-06,0.333,145.842,Sad
Diplo,Diplo Presents Thomas Wesley: Chapter 1 - Snake Oil,Heartless (feat. Morgan Wallen),3FU6urUVsgXa6RBuV2PdRk,0.556,11,-6.417,0.0,0.274,111.033,Sad
Lil Uzi Vert,Just Wanna Rock,Just Wanna Rock,4FyesJzVpA39hbYvcseO2d,0.545,11,-7.924,0.00474,0.0385,150.187,Sad
Kanye West,The Life Of Pablo,Father Stretch My Hands Pt. 1,4KW1lqgSr8TKrvBII0Brf8,0.573,7,-4.113,0.0,0.438,113.088,Sad
Metro Boomin,METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)",6Ec5LeRzkisa5KJtwLfOoW,0.526,9,-7.812,0.00256,0.134,90.018,Sad
Lil Uzi Vert,Watch This (ARIZONATEARS Pluggnb Remix),Watch This - ARIZONATEARS Pluggnb Remix,0FA4wrjDJvJTTU8AepZTup,0.897,11,-7.18,0.103,0.355,129.975,Sad
Luke Combs,Growin' Up,The Kind of Love We Make,48UKTR66uUOT9LaUvooTNx,0.745,1,-4.13,6.47e-06,0.464,102.025,Sad
David Guetta,I'm Good (Blue),I'm Good (Blue),4uUG5RXrOk84mYEfFvj3cK,0.965,7,-3.673,7.07e-06,0.304,128.04,Sad
Taylor Swift,Speak Now (Taylor's Version),Sparks Fly (Taylor’s Version),3MytWN8L7shNYzGl4tAKRp,0.758,5,-2.347,0.0,0.387,114.991,Sad
Lil Baby,Drip Harder,Drip Too Hard (Lil Baby & Gunna),78QR3Wp35dqAhFEc2qAGjE,0.662,1,-6.903,0.0,0.389,112.511,Sad
SZA,SOS,Kill Bill,3OHfY25tqY28d16oZczHc8,0.728,8,-5.75,0.169,0.43,88.993,Sad
Travis Scott,UTOPIA,LOOOVE (feat. Kid Cudi),0a4SMs889NwP8oWI7Vemle,0.739,3,-4.358,0.0,0.108,110.967,Sad
Old Dominion,Memory Lane,Memory Lane,5kB6WithhB8Iv08EMNmAbt,0.8,6,-4.272,1.12e-05,0.375,118.977,Sad
JVKE,this is what ____ feels like (Vol. 1-4),golden hour,5odlY52u43F5BjByhxg7wg,0.593,4,-4.801,0.162,0.153,94.467,Sad
Travis Scott,UTOPIA,LOST FOREVER (feat. Westside Gunn),7EiUtdeoWcKqLi5ELZCjYf,0.803,1,-4.223,0.0,0.314,89.499,Sad
21 Savage,SAVAGE MODE II,Runnin,5SWnsxjhdcEDc7LJjq9UHk,0.626,10,-4.574,0.101,0.415,143.01,Sad
Bad Bunny,Un Verano Sin Ti,Tití Me Preguntó,1IHWl5LamUGEuP4ozKQSXZ,0.715,5,-5.198,0.000291,0.187,106.672,Sad
Kanye West,Yeezus,Bound 2,3sNVsP50132BTNlImLx70i,0.665,1,-2.821,0.0,0.31,148.913,Sad
Juice WRLD,Goodbye & Good Riddance,All Girls Are The Same,4VXIryQMWpIdGgYR4TrjT1,0.529,0,-7.226,0.000335,0.203,161.989,Sad
Stephen Sanchez,Until I Found You (Em Beihold Version),Until I Found You (with Em Beihold) - Em Beihold Version,1Y3LN4zO1Edc2EluIoSPJN,0.55,10,-5.339,0.0,0.342,101.19,Sad
Drake,Views,One Dance,1zi7xx7UVEFkmKfv06H8x0,0.625,1,-5.609,0.0018,0.37,103.967,Sad
The Weeknd,Starboy,Starboy,7MXVkk9YMctZqd1Srtv4MB,0.587,7,-7.015,6.35e-06,0.486,186.003,Sad
PARTYNEXTDOOR,PARTYNEXTDOOR,Break from Toronto,5fEB6ZmVkg63GZg9qO86jh,0.678,9,-5.18,0.00389,0.259,117.067,Sad
Lil Wayne,I Am Not A Human Being II (Deluxe),Love Me,2XHzzp1j4IfTNp1FTn7YFg,0.634,11,-6.476,0.0,0.496,124.906,Sad
Kendrick Lamar,DAMN.,PRIDE.,6IZvVAP7VPPnsGX6bvgkqg,0.535,4,-7.056,1.68e-05,0.37,138.842,Sad
The Weeknd,After Hours,Blinding Lights,0VjIjW4GlUZAMYd2vXMi3b,0.73,1,-5.934,9.54e-05,0.334,171.005,Sad
ame,grey cloud,raining for hours,3L1JHXiqNOJ57w3n2R3HyU,0.976,10,-27.426,0.987,0.00672,96.552,Sad
SZA,SOS,Low,2GAhgAjOhEmItWLfgisyOn,0.546,0,-7.234,0.00314,0.335,145.044,Sad
Kendrick Lamar,DAMN.,HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,0.621,1,-6.638,5.39e-05,0.421,150.011,Sad
Baby Keem,The Melodic Blue,family ties (with Kendrick Lamar),3QFInJAm9eyaho5vBzxInN,0.611,1,-5.453,0.0,0.144,134.093,Sad
Post Malone,Twelve Carat Toothache,I Like You (A Happier Song) (with Doja Cat),0O6u0VJ46W86TxN9wgyqDj,0.67,5,-6.009,0.0,0.472,100.964,Sad
Frank Ocean,Novacane,Novacane,4osgfFTICMkcGbbigdsa53,0.508,3,-9.112,0.00126,0.37,93.51,Sad
Post Malone,AUSTIN,Enough Is Enough,3BHFResGQiUvbYToUdaDQz,0.768,0,-4.911,0.0,0.332,166.061,Sad
Oscar Maydon,Fin de Semana,Fin de Semana,6TBzRwnX2oYd8aOrOuyK1p,0.541,0,-4.943,0.0,0.365,98.395,Sad
Taylor Swift,Speak Now (Taylor's Version),Castles Crumbling (feat. Hayley Williams) (Taylor’s Version) (From The Vault),4ABYxlb92WBIjHu7TIKmml,0.57,7,-7.925,0.0,0.378,147.803,Sad
Jelly Roll,Ballads Of The Broken,Son Of A Sinner,25VQoiuyc0HkC5FQTj1a8G,0.541,7,-7.489,2.25e-06,0.329,86.041,Sad
Taylor Swift,Speak Now (Taylor's Version),Electric Touch (feat. Fall Out Boy) (Taylor’s Version) (From The Vault),4e3ZNTAV6PCrdYMUrUlMpQ,0.855,7,-4.7,0.0,0.282,131.073,Sad
Odetari,LOOK DON’T TOUCH (w/ cade clair),LOOK DON’T TOUCH (w/ cade clair),7E9kejvFw8NDfuu4y3hqkp,0.701,4,-11.994,0.135,0.498,124.969,Sad
Baby Keem,DIE FOR MY BITCH,ORANGE SODA,5FkoSXiJPKTNyYgALRJFhD,0.564,1,-7.822,0.0,0.107,85.042,Sad
Bailey Zimmerman,Religiously. The Album.,Fall In Love,0rCFRyEy4WXjRXNpO80Dzs,0.643,9,-6.055,0.0,0.397,135.962,Sad
Taylor Swift,Speak Now (Taylor's Version),Long Live (Taylor's Version),4hqJ4bSlYJOXb6Z4SRmzxs,0.65,0,-4.031,0.0,0.0752,203.89,Sad
Baby Keem,DIE FOR MY BITCH,HONEST,58k32my5lKofeZRtIvBDg9,0.536,2,-8.79,3.37e-05,0.373,79.037,Sad
Doja Cat,Attention,Attention,11xC6P3iKYpFThT6Ce1KdG,0.567,2,-7.911,0.0278,0.421,87.981,Sad
Taylor Swift,Speak Now (Taylor's Version),When Emma Falls in Love (Taylor’s Version) (From The Vault),0zo975x58DlXbZllWvfYhg,0.763,2,-4.632,0.0,0.231,78.133,Sad
21 Savage,i am > i was,ball w/o you,50a8bKqlwDEqeiEknrzkTO,0.633,8,-7.471,0.000189,0.459,137.994,Sad
Future,I NEVER LIKED YOU,PUFFIN ON ZOOTIEZ,1qMMYpVatbRITKCfq1gasi,0.657,8,-5.748,0.0,0.284,124.992,Sad
Lil Mabu,MATHEMATICAL DISRESPECT,MATHEMATICAL DISRESPECT,0Ymjv0OJeIIPXr6s9wi3iW,0.507,1,-8.06,0.0,0.48,146.771,Sad
Taylor Swift,reputation,...Ready For It?,2yLa0QULdQr0qAIvVwN6B5,0.764,2,-6.509,0.0,0.417,160.015,Sad
Taylor Swift,Wildest Dreams (Taylor's Version),Wildest Dreams (Taylor's Version),1Ov37jtRQ2YNAe8HzfczkL,0.67,8,-7.289,0.0001,0.498,140.061,Sad
Taylor Swift,Red (Taylor's Version),All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),5enxwA8aAbwZbf5qCHORXi,0.518,0,-8.771,0.0,0.205,93.023,Sad
Frank Ocean,channel ORANGE,Lost,3GZD6HmiNUhxXYf8Gch723,0.603,8,-4.892,0.000503,0.497,123.061,Sad
Lil Uzi Vert,Pink Tape,Endless Fashion (feat. Nicki Minaj),41bmnQZoDMQdDh5zyomtW7,0.605,1,-5.01,7.7e-06,0.413,132.946,Sad
The Weeknd,Beauty Behind The Madness,The Hills,7fBv7CLKzipRk6EC6TWHOB,0.564,0,-7.063,0.0,0.137,113.003,Sad
Juice WRLD,Goodbye & Good Riddance,Lucid Dreams,285pBltuF7vW8TeWk8hdRR,0.566,6,-7.23,0.0,0.218,83.903,Sad
Lil Tecca,500lbs,500lbs,1xWkeSPhf3bZqHY7Ncz8vp,0.667,7,-7.928,0.0,0.485,123.042,Sad
Taylor Swift,Lover,Miss Americana & The Heartbreak Prince,214nt20w5wOxJnY462klLw,0.747,11,-6.926,0.00615,0.487,150.088,Sad
Morgan Wallen,Dangerous: The Double Album,Sand In My Boots,0uRrG2jRR5tuifsYIJHEao,0.537,3,-6.628,0.0,0.414,69.877,Sad
Taylor Swift,Midnights (The Til Dawn Edition),Hits Different,3xYJScVfxByb61dYHTwiby,0.782,5,-6.499,4.73e-06,0.239,106.026,Sad
Post Malone,Overdrive,Overdrive,3t0ic4mkhvhamrKDkulB8v,0.729,1,-5.062,0.000139,0.482,139.864,Sad
Travis Scott,Birds In The Trap Sing McKnight,goosebumps,6gBFPUFcJLzWGx4lenP6h2,0.728,7,-3.37,0.0,0.43,130.049,Sad
Cage The Elephant,Melophobia,Cigarette Daydreams,2tznHmp70DxMyr2XhWLOW0,0.676,2,-3.442,0.0,0.273,113.98,Sad
The Walters,I Love You So,I Love You So,4SqWKzw0CbA05TGszDgMlc,0.648,10,-4.891,0.0,0.466,75.977,Sad
Polo G,THE GOAT,Martin & Gina,1VLtjHwRWOVJiE5Py7JxoQ,0.534,1,-7.813,0.0,0.116,93.924,Sad
Olivia Rodrigo,SOUR,deja vu,6HU7h9RYOaPRFeh0R3UeAr,0.612,2,-7.222,5.7e-06,0.178,180.917,Sad
Childish Gambino,Camp,Les,0YsGMHid6sFq5PcToe3JZE,0.674,1,-7.04,9.76e-05,0.123,103.139,Sad
Post Malone,AUSTIN,Something Real,444vevlQjTnKioLLncteGv,0.797,11,-5.086,0.0,0.267,135.483,Sad
21 Savage,i am > i was,a lot,2t8yVaLvJ0RenpXUIAC52d,0.636,1,-7.643,0.00125,0.274,145.972,Sad
Lil Uzi Vert,Pink Tape,Aye (feat. Travis Scott),2Hc1LaV6bzFil3dE71eORA,0.604,9,-4.452,5.64e-05,0.121,111.998,Sad
Travis Scott,ASTROWORLD,SICKO MODE,2xLMifQCjDGFmkHkpNLD9h,0.73,8,-3.714,0.0,0.446,155.008,Sad
Morgan Wallen,One Thing At A Time,’98 Braves,3oZ6dlSfCE9gZ55MGPJctc,0.67,2,-5.759,0.00022,0.484,142.139,Sad
Bruno Mars,Doo-Wops & Hooligans,Just the Way You Are,7BqBn9nzAq8spo5e7cZ0dJ,0.841,5,-5.379,0.0,0.424,109.021,Sad
Surf Curse,Freaks,Freaks,7EkWXAI1wn8Ii883ecd9xr,0.941,9,-9.918,0.633,0.407,179.626,Sad
Luke Combs,Growin' Up,"Going, Going, Gone",67AdiJcurlf6gocGobfaXs,0.56,6,-6.034,0.0,0.325,159.931,Sad
Jordan Davis,Next Thing You Know,Next Thing You Know,2lNTHWu2I5Tcz9ukWsV5Jj,0.597,5,-8.296,0.0,0.414,78.526,Sad
Dominic Fike,Mona Lisa (Spider-Man: Across the Spider-Verse),Mona Lisa (Spider-Man: Across the Spider-Verse),37CoOXIsgF3NzbK1zHZetk,0.646,1,-7.603,0.0,0.445,111.043,Sad
Pinegrove,Everything So Far,Need 2,3kQfBtkQqgN1fAMfhks8TU,0.634,1,-8.302,0.202,0.213,76.557,Sad
Hozier,Hozier (Expanded Edition),Take Me to Church,1CS7Sd1u5tWkstBhpssyjP,0.664,4,-5.303,0.0,0.437,128.945,Sad
"Tyler, The Creator",BEST INTEREST,BEST INTEREST,3jHdKaLCkuNEkWcLVmQPCX,0.575,11,-8.325,0.000153,0.34,98.265,Sad
Jimin,FACE,Like Crazy (English Version),0u8rZGtXJrLtiSe34FPjGG,0.755,7,-5.386,0.0,0.32,119.957,Sad
Lil Baby,My Turn (Deluxe),Low Down,5m0yZ33oOy0yYBtdTXuxQe,0.619,10,-5.562,0.0,0.154,127.958,Sad
Post Malone,beerbongs & bentleys,rockstar (feat. 21 Savage),0e7ipj03S05BNilyu5bRzt,0.52,5,-6.136,7.01e-05,0.129,159.801,Sad
Luke Combs,What You See Ain't Always What You Get (Deluxe Edition),Forever After All,6IBcOGPsniK3Pso1wHIhew,0.65,0,-5.195,0.0,0.456,151.964,Sad
Gunna,DS4EVER,P power (feat. Drake),0lEjxUUlKqjqXrVlIHFduD,0.591,1,-6.217,0.000323,0.202,119.251,Sad
KAROL G,S91,S91,7EpOXgSRgnglRWr86pZfGU,0.719,0,-4.923,2.89e-05,0.417,128.161,Sad
Taylor Swift,Speak Now (Taylor's Version),Haunted (Taylor's Version),4tMzIAFTFdqGBQLdfbPces,0.915,5,-1.909,0.0,0.355,162.201,Sad
Eladio Carrion,3MEN2 KBRN,Coco Chanel,0PB0O24JqAuNdOAFVJljMS,0.764,2,-5.995,0.0,0.137,149.949,Sad
Odetari,NARCISSISTIC PERSONALITY DISORDER,NARCISSISTIC PERSONALITY DISORDER,6lDJ0CkQ6LdQv5EUQ39rpg,0.91,11,-3.736,4.16e-06,0.337,151.657,Sad
Drake,Take Care (Deluxe),Headlines,6LxSe8YmdPxy095Ux6znaQ,0.566,6,-7.16,0.000353,0.425,151.894,Sad
"Tyler, The Creator",Goblin,She,0SA0mMXWh23raZ6xzOCU2V,0.621,8,-6.495,3.44e-05,0.459,83.375,Sad
$uicideboy$,Antarctica,Antarctica,5UGAXwbA17bUC0K9uquGY2,0.633,2,-6.869,4.45e-06,0.319,105.945,Sad
Post Malone,Hollywood's Bleeding,Wow.,7xQAfvXzm3AkraOtGPWIZg,0.539,11,-7.359,1.78e-06,0.388,99.96,Sad
Ruth B.,Safe Haven,Dandelions,2eAvDnpXP5W0cVtiI0PUxV,0.692,1,-2.958,0.0,0.454,116.959,Sad
Yot Club,Bipolar,YKWIM?,2vWBUC9djv6BtiGlmKiQaH,0.537,9,-7.623,0.873,0.228,123.735,Sad
Taylor Swift,Midnights,Bejeweled,3qoftcUZaUOncvIYjFSPdE,0.559,7,-9.19,5.58e-05,0.433,163.999,Sad
GROUPLOVE,Never Trust a Happy Song,Tongue Tied,0GO8y8jQk1PkHzS31d699N,0.936,3,-5.835,0.0,0.371,112.96,Sad
Lil Uzi Vert,Luv Is Rage 2,XO Tour Llif3,7GX5flRQZVHRAGd6B4TmDO,0.75,11,-6.366,0.0,0.401,155.096,Sad
$uicideboy$,Stop Staring At the Shadows,"...And to Those I Love, Thanks for Sticking Around",30QR0ndUdiiMQMA9g1PGCm,0.511,2,-6.876,9.04e-05,0.111,113.983,Sad
The Neighbourhood,Wiped Out!,Daddy Issues,5E30LdtzQTGqRvNd7l6kG5,0.521,10,-9.461,0.149,0.337,85.012,Sad
Taylor Swift,Speak Now,Enchanted,10eBRyImhfqVvkiVEGf0N0,0.623,8,-3.878,0.000424,0.208,163.893,Sad
"Tyler, The Creator",IGOR,NEW MAGIC WAND,0fv2KH6hac06J86hBUTcSf,0.73,5,-5.414,0.000131,0.464,139.566,Sad
Bad Bunny,Un Verano Sin Ti,Ojitos Lindos,3k3NWokhRRkEPhCzPmV8TW,0.686,3,-5.745,1.34e-06,0.268,79.928,Sad
King Von,Levon James,Took Her To The O,7fEoXCZTZFosUFvFQg1BmW,0.592,1,-7.002,4.71e-06,0.4,159.98,Sad
Polo G,Hall of Fame,RAPSTAR,18vXApRmJSgQ6wG2ll9AOg,0.536,6,-6.862,0.0,0.437,81.039,Sad
Vundabar,Gawk,Alien Blues,11iIikXxC6NP0Ma8vMD27x,0.757,3,-5.093,0.908,0.433,82.282,Sad
Ryan Gosling,Barbie The Album,I’m Just Ken,3zXIvb4nZ3cTdT8CsbTy3U,0.628,1,-6.259,4.74e-05,0.387,140.431,Sad
Arctic Monkeys,AM,Do I Wanna Know?,5FVd6KXrgO9B3JPmC8OPst,0.532,5,-7.596,0.000263,0.405,85.03,Sad
Taylor Swift,Fearless (Taylor's Version),You Belong With Me (Taylor’s Version),1qrpoAMXodY6895hGKoUpA,0.773,6,-4.856,0.0,0.474,130.033,Sad
RAYE,My 21st Century Blues,Escapism.,5mHdCZtVyb4DcJw8799hZp,0.742,2,-5.355,4.67e-05,0.25,96.107,Sad
Bad Omens,THE DEATH OF PEACE OF MIND,Just Pretend,1H4Y9uW4N0LsxJUz0VnaPJ,0.834,5,-4.674,0.00125,0.201,140.032,Sad
Waka Flocka Flame,Flockaveli,No Hands (feat. Roscoe Dash & Wale),03tqyYWC9Um2ZqU0ZN849H,0.595,1,-6.366,0.0,0.361,131.497,Sad
Chris Brown,Indigo (Extended),Under The Influence,5IgjP7X4th6nMNDh4akUHb,0.69,9,-5.529,1.18e-06,0.31,116.992,Sad
Lil Peep,LIVE FOREVER,nuts,4k3xDpAdBuM17mNNHhOZkK,0.739,2,-7.41,0.0,0.148,62.007,Sad
Post Malone,Stoney (Deluxe),Congratulations,3a1lNhkSLSkpJE4MSHpDu9,0.804,6,-4.183,0.0,0.492,123.146,Sad
David Guetta,Baby Don't Hurt Me,Baby Don't Hurt Me,3BKD1PwArikchz2Zrlp1qi,0.91,7,-3.404,0.000174,0.228,127.944,Sad
Chris Stapleton,White Horse,White Horse,7MSWxMumjz6lHj7oRApNbg,0.77,1,-11.066,0.598,0.224,145.225,Sad
Don Toliver,Love Sick,Private Landing (feat. Justin Bieber & Future),52NGJPcLUzQq5w7uv4e5gf,0.669,1,-4.105,1.28e-05,0.435,136.979,Sad
Juice WRLD,Goodbye & Good Riddance,Lean Wit Me,3oDkdAySo1VQQG0ptV7uwa,0.651,1,-5.515,0.0,0.237,163.935,Sad
Post Malone,Mourning,Mourning,0gWrMbx6pbdH3n3nsLjE55,0.651,9,-4.604,0.0,0.255,73.959,Sad
