Artist,Album,Track Name,Track ID,Energy,Key,Loudness,Instrumentalness,Valence,Tempo,Mood
OneRepublic,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",I Ain't Worried,4h9wh7iOZ0GGn8QVp4RAOB,0.797,0,-5.927,0.000745,0.825,139.994,Energetic
Myke Towers,LA VIDA ES UNA,LALA,7ABLbnD53cQK00mhcaOUVG,0.737,1,-4.045,0.00162,0.607,91.986,Energetic
Taylor Swift,1989,Blank Space,1p80LdxRV74UKvL8gnD7ky,0.678,5,-5.421,1.64e-06,0.583,96.006,Energetic
Peso Pluma,GÉNESIS,TULUM,7bPp2NmpmyhLJ7zWazAXMu,0.866,6,-4.454,0.0,0.631,167.767,Energetic
Lil Durk,Almost Healed,Stand By Me (feat. Morgan Wallen),1fXnu2HzxbDtoyvFPWG3Bw,0.582,11,-7.726,0.0,0.605,134.07,Energetic
Rema,Calm Down (with Selena Gomez),Calm Down (with Selena Gomez),0WtM2NBVQNNJLh6scP13H8,0.806,11,-5.206,0.000669,0.802,106.999,Energetic
Travis Scott,UTOPIA,DELRESTO (ECHOES) (feat. Beyoncé),0OEe83mMZ5kaNw5uZQ7ilG,0.609,2,-6.306,0.0,0.509,116.066,Energetic
Taylor Swift,folklore,cardigan,4R2kfaDFhslZEMJqAFNpdd,0.581,0,-8.588,0.000345,0.551,130.033,Energetic
Glass Animals,Dreamland,Heat Waves,3USxtqRwSYz57Ewm6wWRMp,0.525,11,-6.9,6.7e-06,0.531,80.87,Energetic
Luke Combs,This One's for You,When It Rains It Pours,1mMLMZYXkMueg65jRRWG1l,0.801,6,-5.069,6.03e-06,0.625,128.027,Energetic
The Weeknd,Popular (Music from the HBO Original Series),Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,6WzRpISELf3YglGAh7TXcG,0.678,1,-6.276,3.69e-05,0.852,99.029,Energetic
Tyler Childers,Purgatory,Feathered Indians,2tgQaL85WoRfgEa4hFQgrE,0.574,7,-6.705,0.00277,0.877,87.194,Energetic
Eslabon Armado,DESVELADO,Ella Baila Sola,3qQbCzHBycnDpGskqOWY0E,0.758,5,-5.176,1.89e-05,0.834,147.989,Energetic
Steve Lacy,Dark Red,Dark Red,3EaJDYHA0KnX88JvDhL9oa,0.784,6,-4.023,8.32e-06,0.769,172.041,Energetic
TV Girl,French Exit,Lovers Rock,6dBUzqjtbnIa1TwYbyw5CM,0.871,5,-5.338,0.00545,0.572,104.97,Energetic
Noah Kahan,Stick Season (We'll All Be Here Forever),Dial Drunk,0caJ2wkqp4UmXBwdR2JvB5,0.595,8,-7.578,0.0,0.646,112.02,Energetic
Tainy,DATA,MOJABI GHOST,4eMKD8MRroxCqugpsxCCNb,0.707,6,-3.758,3.71e-05,0.744,122.014,Energetic
Chino Pacas,El Gordo Trae El Mando,El Gordo Trae El Mando,3kf0WdFOalKWBkCCLJo4mA,0.8,7,-5.38,0.0,0.961,140.253,Energetic
Tyler Childers,Country Squire,All Your'n,0fCwTrRNfoNk962ati8n2K,0.55,11,-7.342,3.97e-05,0.839,78.176,Energetic
Sabrina Carpenter,emails i can't send,Nonsense,6dgUya35uo964z7GZXM07g,0.697,8,-4.912,0.0,0.732,138.992,Energetic
Morgan Wallen,One Thing At A Time,Ain’t That Some,2YVlDlk2zRceefo6XlC6DX,0.803,6,-5.781,3.86e-06,0.671,121.086,Energetic
Charli XCX,Speed Drive (From Barbie The Album),Speed Drive (From Barbie The Album),5VxmI3IdgAxWVvUnJoLuY2,0.879,0,-6.405,0.0896,0.789,173.925,Energetic
Jelly Roll,Whitsitt Chapel,Need A Favor,5twSy6ffBrF03mnNUsUgJZ,0.771,6,-4.231,1.89e-05,0.555,157.985,Energetic
Peso Pluma,GÉNESIS,LAGUNAS,3HOKxuTDmNVmIlCIpBiD8m,0.622,11,-10.621,0.00603,0.792,115.952,Energetic
Peso Pluma,GÉNESIS,LUNA,3RA55zrRkyPK8Fd86hrMy8,0.629,9,-8.509,0.00409,0.793,127.819,Energetic
Post Malone,Hollywood's Bleeding,Circles,21jGcNKet2qwijlDFuPiPb,0.762,0,-3.497,0.00244,0.553,120.042,Energetic
J. Cole,2014 Forest Hills Drive,Wet Dreamz,4tqcoej1zPvwePZCzuAjJd,0.722,6,-8.108,0.0,0.539,175.627,Energetic
Dave,Sprinter,Sprinter,2FDTHlrBguDzQkp7PVj16Q,0.583,1,-8.067,0.0,0.661,141.095,Energetic
Doechii,What It Is (Versions),What It Is (Solo Version),73RbfOTJIjHzi2pcVHjeHM,0.758,1,-5.851,1.44e-06,0.757,171.925,Energetic
Jung Kook,Seven (feat. Latto),Seven (feat. Latto) (Clean Ver.),5Avril3IZ26DPVFHbJX8o6,0.831,11,-3.975,0.0,0.891,124.986,Energetic
El Alfa,PLEBADA,PLEBADA,7uSLF2yhpjLlYBLtyPX3Lb,0.988,9,-0.517,0.000942,0.699,115.057,Energetic
Feid,Classy 101,Classy 101,6XSqqQIy7Lm7SnwxS4NrGx,0.658,11,-4.79,0.0,0.672,100.065,Energetic
Harry Styles,As It Was,As It Was,4LRPiXqCikLlN15c3yImP7,0.731,6,-5.338,0.00101,0.662,173.93,Energetic
Taylor Swift,Speak Now (Taylor's Version),Better Than Revenge (Taylor's Version),0NwGC0v03ysCYINtg6ns58,0.885,11,-2.969,0.0,0.665,145.863,Energetic
Beach House,Depression Cherry,Space Song,7H0ya83CMmgFcOhw0UB6ow,0.792,0,-7.311,0.124,0.601,147.067,Energetic
Morgan Wallen,One Thing At A Time,Thought You Should Know,3Qu3Zh4WTKhP9GEXo0aDnb,0.678,6,-6.16,6.23e-06,0.508,140.05,Energetic
KAROL G,MAÑANA SERÁ BONITO,TQG,0DWdj2oZMBFSzRsi2Cvfzf,0.63,4,-3.547,0.0,0.607,179.974,Energetic
Kendrick Lamar,DAMN.,LOVE. FEAT. ZACARI.,6PGoSes0D9eUDeeAafB2As,0.585,10,-7.343,0.0,0.779,126.058,Energetic
Morgan Wallen,Dangerous: The Double Album,More Than My Hometown,5OELUCYgOHKFAvCERnAvfS,0.869,6,-5.479,0.0,0.597,126.019,Energetic
That Mexican OT,Johnny Dang (with Paul Wall & DRODi),Johnny Dang (with Paul Wall & DRODi),1kwPxt35W7cG3rryxR48PO,0.671,10,-5.26,0.0,0.754,119.965,Energetic
Ice Spice,Princess Diana (with Nicki Minaj),Princess Diana (with Nicki Minaj),0ZxhtATQ0a6EvQNZ0z6NKV,0.676,9,-5.196,0.0,0.742,147.991,Energetic
Luke Combs,This One's for You Too (Deluxe Edition),She Got the Best of Me,698eQRku24PIYPQPHItKlA,0.907,11,-3.793,0.0,0.7,150.99,Energetic
Vance Joy,Dream Your Life Away (Special Edition),Riptide,3JvrhDOgAt6p7K8mDyZwRd,0.731,1,-6.694,0.0,0.51,101.654,Energetic
Carin Leon,Que Vuelvas,Que Vuelvas,6Um358vY92UBv5DloTRX9L,0.643,10,-4.309,0.0,0.779,162.469,Energetic
Morgan Wallen,One Thing At A Time,One Thing At A Time,1rXq0uoV4KTgRN64jXzIxo,0.914,7,-5.153,2.21e-06,0.916,141.978,Energetic
NewJeans,NewJeans 2nd EP 'Get Up',Cool With You,02wk5BttM0QL38ERjLPQJB,0.65,5,-6.683,0.00136,0.532,134.993,Energetic
NewJeans,NewJeans 2nd EP 'Get Up',ETA,56v8WEnGzLByGsDAXDiv4d,0.749,10,-6.389,0.0,0.841,134.971,Energetic
Mac Miller,K.I.D.S. (Deluxe),The Spins,7FAFkQQZFeNwOFzTrSDFIh,0.766,9,-3.894,0.0,0.55,127.006,Energetic
Peso Pluma,PRC,PRC,2mpoNBkngUEwnaKoBhZ0vl,0.826,7,-6.34,7.09e-05,0.893,138.078,Energetic
Harry Styles,Harry's House,As It Was,4Dvkj6JhhA12EX05fT7y2e,0.731,6,-5.338,0.00101,0.662,173.93,Energetic
Taylor Swift,Lover,The Man,3RauEVgRgj1IuWdJ9fDs70,0.658,0,-5.191,0.0,0.633,110.048,Energetic
Odetari,GOOD LOYAL THOTS,GOOD LOYAL THOTS,06tNJ27nVxbDwhiQMChWyr,0.86,6,-5.274,0.000142,0.607,146.441,Energetic
Tyler Hubbard,Tyler Hubbard,Dancin’ In The Country,2KtGiBi5CrX2ERPD2PAS34,0.871,7,-4.614,0.0,0.532,114.974,Energetic
The Weeknd,Starboy,Die For You,2LBqCSwhJGcFQeTHMVGwy3,0.525,1,-7.163,0.0,0.508,133.629,Energetic
Kali Uchis,Red Moon In Venus,Moonlight,0JmnkIqdlnUzPaf8sqBRs3,0.706,7,-6.872,0.0,0.896,136.851,Energetic
Morgan Wallen,Dangerous: The Double Album,7 Summers,4obHzpwGrjoTuZh2DItEMZ,0.786,0,-5.13,6.1e-05,0.571,203.903,Energetic
Luke Combs,What You See Is What You Get,Beer Never Broke My Heart,7aEtlGHoiPAfRB084NiDmx,0.863,1,-4.483,0.0,0.637,77.001,Energetic
Becky G,Chanel,Chanel,5RcxRGvmYai7kpFSfxe5GY,0.675,2,-5.738,0.00317,0.528,132.005,Energetic
Taylor Swift,Speak Now (Taylor's Version),Foolish One (Taylor’s Version) (From The Vault),4s8BIKx4Zh6ryAEz8RTlaU,0.588,7,-4.675,0.0,0.543,96.965,Energetic
HARDY,the mockingbird & THE CROW,TRUCK BED,103u49mLoJUge83B1CnLxI,0.77,0,-4.887,0.0,0.769,132.057,Energetic
TV Girl,Death of a Party Girl,Blue Hair,39sDitIeCMrVX2QyXHY46t,0.72,4,-6.376,0.0497,0.884,135.73,Energetic
Lil Uzi Vert,Luv Is Rage 2 (Deluxe),20 Min,0uxSUdBrJy9Un0EYoBowng,0.75,8,-4.009,0.0,0.783,123.426,Energetic
Kali Uchis,Moonlight,Moonlight,2i2gDpKKWjvnRTOZRhaPh2,0.723,7,-6.462,0.0,0.878,136.872,Energetic
Peso Pluma,Bye,Bye,6n2P81rPk2RTzwnNNgFOdb,0.812,0,-6.613,0.00045,0.7,122.063,Energetic
KAROL G,MAÑANA SERÁ BONITO,AMARGURA,505v13epFXodT9fVAJ6h8k,0.696,6,-3.356,0.0,0.545,106.966,Energetic
Fuerza Regida,Pa Que Hablen,Igualito a Mi Apá,17js0w8GTkTUFGFM6PYvBd,0.812,4,-3.272,0.0,0.795,144.908,Energetic
Darius Rucker,True Believers,Wagon Wheel,3xdjjKMcMOFgo1eQrfbogM,0.66,9,-7.174,0.0,0.574,148.096,Energetic
NewJeans,NewJeans 2nd EP 'Get Up',Get Up,1wUnuiXMMvhudmzvcCtlZP,0.526,5,-7.03,0.127,0.562,85.274,Energetic
Tame Impala,Currents,The Less I Know The Better,6K4t31amVTZDgR3sKmwUJJ,0.74,4,-4.083,0.00678,0.785,116.879,Energetic
Taylor Swift,Lover,Paper Rings,4y5bvROuBDPr5fuwXbIBZR,0.719,9,-6.553,1.36e-05,0.865,103.979,Energetic
Cole Swindell,Stereotype,She Had Me At Heads Carolina,200x8ONbPfFzByUr3fVz46,0.912,8,-3.449,0.0,0.722,134.944,Energetic
Taylor Swift,Speak Now (Taylor's Version),Speak Now (Taylor's Version),5xXqyjLicvEpch72qEryFT,0.677,7,-2.871,0.0,0.639,118.995,Energetic
TV Girl,Who Really Cares,Not Allowed,3IznIgmXtrUaoPWpQTy5jB,0.905,1,-6.855,0.000227,0.563,104.965,Energetic
Taylor Swift,reputation,Look What You Made Me Do,1P17dC1amhFzptugyAO7Il,0.709,9,-6.471,1.41e-05,0.506,128.07,Energetic
Peso Pluma,GÉNESIS,RUBICON,0xGZjxYqcNQ8WqxyeZ4eSN,0.816,5,-7.284,3.64e-06,0.915,139.959,Energetic
JAY-Z,Watch The Throne (Deluxe),Ni**as In Paris,4Li2WHPkuyCdtmokzW2007,0.858,1,-5.542,0.0,0.775,140.022,Energetic
Taylor Swift,Speak Now (Taylor's Version),Timeless (Taylor’s Version) (From The Vault),1HCdems7PQZRj42QDWLA0A,0.585,3,-5.847,0.0,0.65,142.883,Energetic
Olivia Rodrigo,SOUR,good 4 u,4ZtFanR9U6ndgddUvNcjcG,0.664,9,-5.044,0.0,0.688,166.928,Energetic
ROSALÍA,RR,BESO,609E1JCInJncactoMmkDon,0.644,5,-6.671,0.000837,0.53,95.05,Energetic
Taylor Swift,Speak Now (Taylor's Version),Mean (Taylor's Version),30Y4CV7A6YqtQtTTo7Ue4j,0.692,4,-3.866,0.0,0.621,163.874,Energetic
Peso Pluma,GÉNESIS,VVS,3B0swL7Qil9bB7eKzBREBK,0.729,7,-3.066,0.0,0.862,110.238,Energetic
Natanael Cano,AMG,AMG,1lRtH4FszTrwwlK5gTSbXO,0.73,11,-6.657,0.000107,0.786,136.175,Energetic
Beyoncé,RENAISSANCE,CUFF IT,1xzi1Jcr7mEi9K2RfzLOqS,0.689,7,-5.668,9.69e-06,0.642,115.042,Energetic
Taylor Swift,1989,Shake It Off,5xTtaWoae3wi06K5WfVUUH,0.785,7,-5.414,0.0,0.943,160.015,Energetic
NewJeans,NewJeans 'Super Shy',New Jeans,6rdkCkjk6D12xRpdMXy0I2,0.721,4,-6.211,0.00216,0.532,134.014,Energetic
Harry Styles,Harry's House,Late Night Talking,1qEmFfgcLObUfQm0j1W2CK,0.728,10,-4.595,0.0,0.901,114.996,Energetic
Post Malone,Hollywood's Bleeding,Sunflower - Spider-Man: Into the Spider-Verse,0RiRZpuVRbi7oqRdSMwhQY,0.522,2,-4.368,0.0,0.925,89.96,Energetic
Miley Cyrus,Endless Summer Vacation,Flowers,4DHcnVTT87F0zZhRPYmZ3B,0.681,0,-4.325,5.15e-06,0.646,117.999,Energetic
Bruno Mars,24K Magic,That's What I Like,0KKkJNfGyhkQ5aFogxQAPU,0.56,1,-4.961,0.0,0.86,134.066,Energetic
Doja Cat,Paint The Town Red,Paint The Town Red,2IGMVunIBsBLtEQyoI1Mu7,0.538,5,-8.603,3.34e-06,0.732,99.968,Energetic
21 Savage,SAVAGE MODE II,Rich Nigga Shit (feat. Young Thug),3ruoIF2UnoXdzK8mR61ebq,0.733,1,-5.625,0.0,0.62,97.974,Energetic
Harry Styles,Fine Line,Watermelon Sugar,6UelLqGlWMcVH1E5c4H7lY,0.816,0,-4.209,0.0,0.557,95.39,Energetic
Arctic Monkeys,AM,Why'd You Only Call Me When You're High?,086myS9r57YsLbJpU0TgK9,0.631,2,-6.478,1.13e-05,0.8,92.004,Energetic
Yeat,Lyfë,Out thë way,6IyoLWzljeR3ldQo4KWHT6,0.628,4,-7.41,8.79e-06,0.798,128.07,Energetic
Luke Bryan,Tailgates & Tanlines,Country Girl (Shake It For Me),0JbSghVDghtFEurrSO8JrC,0.904,2,-4.532,0.0,0.671,105.97,Energetic
Taylor Swift,Speak Now (Taylor's Version),The Story Of Us (Taylor's Version),6dTA6y0C2ReQklntzZl8l3,0.781,4,-2.608,0.0,0.57,139.846,Energetic
Lyrical Lemonade,Doomsday,Doomsday (with Juice WRLD & Cordae),3bkpVSoNvBkvt9LJMFT5at,0.729,10,-3.939,0.0,0.885,93.159,Energetic
NLE Choppa,SLUT ME OUT,SLUT ME OUT,5BmB3OaQyYXCqRyN8iR2Yi,0.606,6,-6.396,0.0,0.706,121.108,Energetic
Kendrick Lamar,Black Panther The Album Music From And Inspired By,All The Stars (with SZA),3GCdLUSnKSMJhs4Tj6CV3s,0.633,8,-4.946,0.000194,0.552,96.924,Energetic
TV Girl,Who Really Cares,Cigarettes out the Window,6QeYSvYqYUsfBzsApbjDHO,0.659,0,-5.669,0.0,0.594,113.551,Energetic
Bruno Mars,Unorthodox Jukebox,Locked out of Heaven,3w3y8KPTfNeOKPiqUTakBh,0.698,5,-4.165,0.0,0.867,143.994,Energetic
Playboi Carti,Whole Lotta Red,Sky,29TPjc8wxfz4XMn21O7VsZ,0.903,2,-4.184,0.0,0.565,139.98,Energetic
NewJeans,NewJeans 'OMG',OMG,65FftemJ1DbbZ45DUfHJXE,0.771,9,-4.067,3.07e-06,0.739,126.956,Energetic
Eslabon Armado,DESVELADO,Así Lo Quiso Dios,6X5WZbJzXtk6aO03HlxuZ9,0.664,8,-4.027,0.0,0.747,144.981,Energetic
Kelsea Ballerini,SUBJECT TO CHANGE,IF YOU GO DOWN (I'M GOIN' DOWN TOO),1jX9wlAgVkAl0fCZqkCI73,0.856,11,-4.35,0.0,0.965,144.092,Energetic
Kendrick Lamar,To Pimp A Butterfly,Alright,3iVcZ5G6tvkXZkZKlMpIUs,0.766,7,-5.974,0.0,0.558,110.034,Energetic
Morgan Wallen,Stand Alone - EP,Spin You Around,1yj1ZztSGITJ5Nf4mfH92c,0.877,4,-3.621,0.0,0.616,150.004,Energetic
Jon Pardi,Mr. Saturday Night,Your Heart Or Mine,7ETjhPaIU4UmHOiimJBZz9,0.713,5,-4.368,0.0,0.717,86.1,Energetic
Luke Combs,This One's for You,Hurricane,6xHI9KjUjYT0FPtGO8Mxa1,0.813,10,-6.185,0.0,0.515,75.977,Energetic
Mac DeMarco,This Old Dog,For the First Time,2R4AlwtrrkMaRKojcTIzmL,0.529,5,-10.469,0.0093,0.521,75.515,Energetic
Young Nudy,Peaches & Eggplants (feat. 21 Savage),Peaches & Eggplants (feat. 21 Savage),1KUZ33cOqk3X4Ezk0aZnVp,0.536,4,-7.884,3.73e-06,0.584,146.014,Energetic
Lil Uzi Vert,Luv Is Rage 2,The Way Life Goes (feat. Oh Wonder),2eAZfqOm4EnOF9VvN50Tyc,0.757,1,-3.612,0.0,0.696,82.008,Energetic
Kali Uchis,Isolation,"After The Storm (feat. Tyler, The Creator & Bootsy Collins)",1otG6j1WHNvl9WgXLWkHTo,0.659,4,-6.766,0.00201,0.843,79.64,Energetic
Travis Scott,UTOPIA,K-POP (feat. Bad Bunny & The Weeknd),4o82J5zr4DFEs9yj5szCVX,0.621,5,-5.614,2.74e-06,0.545,121.057,Energetic
Bryan Martin,Poets & Old Souls,We Ride,72kGuWpRiuA149Bn5lDkIO,0.706,3,-4.176,7.78e-06,0.591,81.989,Energetic
The Weeknd,Die For You (Remix),Die For You - Remix,7oDd86yk8itslrA9HRP2ki,0.525,1,-6.5,0.0,0.502,66.9,Energetic
Morgan Wallen,If I Know Me,The Way I Talk,21LRaD9rB3v7p7DDCZsW4y,0.879,4,-3.388,0.0,0.757,137.983,Energetic
Kali Uchis,Sin Miedo (del Amor y Otros Demonios) ∞,telepatía,6tDDoYIxWvMLTdKpjFkc1B,0.524,11,-9.016,0.0,0.553,83.97,Energetic
ThxSoMch,SPIT IN MY FACE!,SPIT IN MY FACE!,1N8TTK1Uoy7UvQNUazfUt5,0.785,8,-6.512,0.0216,0.649,94.094,Energetic
Lil Durk,7220 (Reloaded),Broadway Girls (feat. Morgan Wallen),7qTaDOcld0VmBWXnkbUj45,0.745,10,-3.599,0.0,0.54,74.967,Energetic
Jon Pardi,California Sunrise,Night Shift,0bPnT6i9H1p8Vd85GS6Z7I,0.754,2,-3.564,0.0,0.73,95.999,Energetic
A Boogie Wit da Hoodie,Artist,My Shit,5uQOauh47VFt3B2kV9kRXw,0.621,5,-8.3,0.0,0.847,77.998,Energetic
PinkPantheress,to hell with it,Pain,4S4QJfBGGrC8jRIjJHf1Ka,0.617,1,-8.497,0.00306,0.81,125.605,Energetic
Bakar,Hell N Back,Hell N Back,3NRql0A1Ef4RCvT473iqgD,0.684,10,-4.314,9.05e-05,0.72,210.164,Energetic
Eyedress,Jealous,Jealous,1aXV8GrmQLvgoFtBPERP7E,0.921,9,-10.431,0.85,0.696,93.01,Energetic
Taylor Swift,Lover,You Need To Calm Down,6RRNNciQGZEXnqk8SQ9yv5,0.671,2,-5.617,0.0,0.714,85.026,Energetic
A Boogie Wit da Hoodie,The Bigger Artist,Drowning (feat. Kodak Black),1f5cbQtDrykjarZVrShaDI,0.81,5,-5.274,0.0,0.814,129.014,Energetic
Steve Lacy,Bad Habit,Bad Habit,5CM4UuQ9Gnd6K2YyKGPMoK,0.507,1,-7.097,7.51e-05,0.69,168.955,Energetic
Chino Pacas,Dijeron Que No La Iba Lograr,Dijeron Que No La Iba Lograr,7dR09k1an5JEq7ch0Y5hvV,0.791,7,-6.792,0.0,0.759,142.219,Energetic
Sleepy Hallow,Still Sleep?,2055,4XvcHTUfIlWfyJTRG0aqlo,0.512,6,-5.865,0.0,0.638,80.511,Energetic
The Lumineers,Cleopatra,Ophelia,3d8y0t70g7hw2FOWl9Z4Fm,0.573,5,-6.519,0.000363,0.566,76.023,Energetic
Neon Trees,Picture Show,Everybody Talks,2iUmqdfGZcHIhS3b9E9EWq,0.924,8,-3.906,0.0,0.725,154.961,Energetic
Paramore,Paramore,Still into You,1yjY7rpaAQvKwpdUliHx0d,0.923,5,-3.763,0.0,0.765,136.01,Energetic
Ed Sheeran,=,Shivers,50nfwKoDiSYg8zOCREWAm5,0.859,2,-2.724,0.0,0.822,141.02,Energetic
Jon Pardi,California Sunrise,Heartache On The Dance Floor,0w3Q14i073jLoew1hgJkwD,0.834,9,-4.308,0.0,0.618,116.0,Energetic
Mac DeMarco,Salad Days,Chamber Of Reflection,7H7NyZ3G075GqPx2evsfeb,0.557,11,-8.678,0.914,0.506,131.03,Energetic
Tame Impala,The Slow Rush,Borderline,5hM5arv9KDbCHS0k9uqwjr,0.873,5,-3.067,9.1e-06,0.873,97.96,Energetic
Steve Lacy,Some,Some,4riDfclV7kPDT9D58FpmHd,0.554,7,-6.417,0.254,0.634,104.01,Energetic
Morgan Wallen,You Proof,You Proof,5uU1uuyaUIBOiiUSQG7Wl3,0.85,9,-4.913,0.0,0.644,119.706,Energetic
YNW Melly,I AM YOU,Murder on My Mind,7eBqSVxrzQZtK2mmgRG6lC,0.73,0,-7.985,3.06e-06,0.74,115.007,Energetic
Travis Scott,Birds In The Trap Sing McKnight,sdp interlude,4gh0ZnHzaTMT1sDga7Ek0N,0.586,0,-8.15,0.0544,0.588,108.164,Energetic
MKTO,MKTO,Classic,6FE2iI43OZnszFLuLtvvmg,0.791,1,-4.689,0.0,0.756,102.071,Energetic
Kenny Chesney,The Big Revival,American Kids,1dgWTMoHwTUnQhOQ8SR5fV,0.589,0,-7.37,5.84e-06,0.849,85.022,Energetic
bôa,Twilight,Duvet,42qNWdLKCI41S4uzfamhFM,0.888,11,-9.414,4.58e-05,0.706,93.206,Energetic
The Weeknd,Starboy,Die For You,2Ch7LmS7r2Gy2kc64wv3Bz,0.525,1,-7.163,0.0,0.51,133.249,Energetic
Rihanna,Talk That Talk,We Found Love,6qn9YLKt13AGvpq9jfO8py,0.766,1,-4.485,0.00138,0.6,127.986,Energetic
WALK THE MOON,TALKING IS HARD,Shut Up and Dance,4kbj5MwxO1bq9wjT5g9HaA,0.866,1,-3.804,0.0,0.619,128.038,Energetic
Eric Church,Chief,Springsteen,05ZACkzW8YbRq3eFgIfSNB,0.809,2,-5.935,9.77e-05,0.927,104.023,Energetic
Coi Leray,Players,Players,6UN73IYd0hZxLi8wFPMQij,0.516,6,-5.817,7.54e-06,0.624,105.001,Energetic
Train,"Save Me, San Francisco (Golden Gate Edition)","Hey, Soul Sister",4HlFJV71xXKIGcU3kRyttv,0.886,1,-4.44,0.0,0.795,97.012,Energetic
Chris Stapleton,From A Room: Volume 1,Broken Halos,06gD2ZtK3Dzc1BYqWExQJJ,0.564,8,-7.085,1.65e-06,0.538,78.388,Energetic
Avicii,True,Wake Me Up,0nrRP2bk19rLc0orkWPQk2,0.783,2,-5.697,0.0012,0.643,124.08,Energetic
